NO,TICKER,URL,English_total,Total,CE0_name,CEO_num,Pros1_text,Pros1_color,Pros1_num,Pros2_text,Pros2_color,Pros2_num,Pros3_text,Pros3_color,Pros3_num,Pros4_text,Pros4_color,Pros4_num,Pros5_text,Pros5_color,Pros5_num,Cons1_text,Cons1_color,Cons2_num,Cons2_text,Cons2_color,Cons2_num,Cons3_text,Cons3_color,Cons3_num,Cons4_text,Cons4_color,Cons4_num,Cons5_text,Cons5_color,Cons5_num
124,BSX,https://www.glassdoor.com/Reviews/Boston-Scientific-Reviews-E2187.htm,2337,2990,Michael F. Mahoney,1227,"Work Life Balance, fair compensation",Work Life Balance,192,"good benefits, good work life balance",good benefits,109,Good Pay and great work environment,work environment,107,"Great people, great environment throughout the work week",Great people,96,"Great company, fantastic employee-focusd culture, great benefits package",great benefits,86,"Work Life Balance, fair compensation",Work Life Balance,192,"good benefits, good work life balance",good benefits,109,Good Pay and great work environment,work environment,107,"Great people, great environment throughout the work week",Great people,96,"Great company, fantastic employee-focusd culture, great benefits package",great benefits,86
208,PCAR,https://www.glassdoor.com/Reviews/PACCAR-Reviews-E1744.htm,626,691,Preston Feight,39,Good work life balance for employees,work life balance,54,"Stable company, well managed , good work environment",Stable company,40,Great work environment with great people to work beside you,great people,23,"Great benefits, good pay, healthy work environment, training",Great benefits,21,"Good company with good people, good benefits for F/T employees",good benefits,21,Good work life balance for employees,work life balance,54,"Stable company, well managed , good work environment",Stable company,40,Great work environment with great people to work beside you,great people,23,"Great benefits, good pay, healthy work environment, training",Great benefits,21,"Good company with good people, good benefits for F/T employees",good benefits,21
24,CRM,https://www.glassdoor.com/Reviews/Salesforce-Reviews-E11159.htm,8749,9948,Marc Benioff,3106,Great benefits (free food/drink kitchen big plus),Great benefits,468,Great Culture and Diverse Workforce,Great Culture,435,Really great company to work for,great company,307,Awesome culture and great people,great people,277,company culture is awesome and they treat you well,company culture,230,Great benefits (free food/drink kitchen big plus),Great benefits,468,Great Culture and Diverse Workforce,Great Culture,435,Really great company to work for,great company,307,Awesome culture and great people,great people,277,company culture is awesome and they treat you well,company culture,230
148,IDXX,https://www.glassdoor.com/Reviews/IDEXX-Laboratories-Reviews-E2074.htm,754,855,Jay Mazelsky,95,Great benefits are offered here,Great benefits,54,"Good pay, Good benefits, and Strong leaders",Good benefits,47,Good work environment all around,work environment,33,The culture seems inclusive and it also seems like they genuinely care about animals,animals,30,good pay compared to a lot of jobs on the market at the moment,good pay,25,Great benefits are offered here,Great benefits,54,"Good pay, Good benefits, and Strong leaders",Good benefits,47,Good work environment all around,work environment,33,The culture seems inclusive and it also seems like they genuinely care about animals,animals,30,good pay compared to a lot of jobs on the market at the moment,good pay,25
125,ADI,https://www.glassdoor.com/Reviews/Analog-Devices-Reviews-E49.htm,1054,1322,Vincent Roche,455,Good work life balance; reasonable pressure from management; no micromanage; opportunities for internal transfer,work life balance,147,"good salary, good working environment",good working environment,97,great learning environment with good benefits,good benefits,47,"Good people, collaborative environment, employee focus",Good people,35,Great people to work and have fun with,Great people,30,Good work life balance; reasonable pressure from management; no micromanage; opportunities for internal transfer,work life balance,147,"good salary, good working environment",good working environment,97,great learning environment with good benefits,good benefits,47,"Good people, collaborative environment, employee focus",Good people,35,Great people to work and have fun with,Great people,30
209,ADM,https://www.glassdoor.com/Reviews/Archer-Daniels-Midland-ADM-Reviews-E55.htm,909,1744,Juan R. Luciano,340,Very good benefits and room for advancement,good benefits,61,"good pay, great benefits, commitment to safety",great benefits,41,"Besides to good pay and great benefits, there?€?s a lot to learn and plenty of ways to gain vaulted work experience",good pay,39,Positive work environment with great people,great people,35,"good culture, good people, good salary",good people,21,Very good benefits and room for advancement,good benefits,61,"good pay, great benefits, commitment to safety",great benefits,41,"Besides to good pay and great benefits, there?€?s a lot to learn and plenty of ways to gain vaulted work experience",good pay,39,Positive work environment with great people,great people,35,"good culture, good people, good salary",good people,21
25,T,https://www.glassdoor.com/Reviews/AT-and-T-Reviews-E613.htm,27487,30033,John Stankey,2264,Great benefits especially if you're a student,Great benefits,1984,"Good Pay, Good management depending on who you report too",Good Pay,1965,AT&T has good pay and good benefits,good benefits,1818,Great pay for not needing a degree,Great pay,1455,AT&T wire tech installation Provides good pay and benefits and support for employees from management,pay and benefits,1235,Great benefits especially if you're a student,Great benefits,1984,"Good Pay, Good management depending on who you report too",Good Pay,1965,AT&T has good pay and good benefits,good benefits,1818,Great pay for not needing a degree,Great pay,1455,AT&T wire tech installation Provides good pay and benefits and support for employees from management,pay and benefits,1235
149,WM,https://www.glassdoor.com/Reviews/Waste-Management-Reviews-E2094.htm,2302,2422,"James C. Fish, Jr",619,Great benefits depends on the market area if you're labeled corporate or not,Great benefits,172,Good benefits overall nice enviroment,Good benefits,160,Good pay and benefits fpr a family,Good pay,143,"Great job, great pay and benefits",pay and benefits,81,"benefits galore, from medical , stocks and 401k, great pay",great pay,60,Great benefits depends on the market area if you're labeled corporate or not,Great benefits,172,Good benefits overall nice enviroment,Good benefits,160,Good pay and benefits fpr a family,Good pay,143,"Great job, great pay and benefits",pay and benefits,81,"benefits galore, from medical , stocks and 401k, great pay",great pay,60
210,PPG,https://www.glassdoor.com/Reviews/PPG-Reviews-E508.htm,1181,1562,Michael H. McGarry,381,Good benefits with the possibility to grow within company,Good benefits,55,"great people, lots of opportunities",great people,40,nice people and great company benefits,great company,39,"Good work life balance, good salary",work life balance,38,Good people and stable industry,Good people,37,Good benefits with the possibility to grow within company,Good benefits,55,"great people, lots of opportunities",great people,40,nice people and great company benefits,great company,39,"Good work life balance, good salary",work life balance,38,Good people and stable industry,Good people,37
126,VRTX,https://www.glassdoor.com/Reviews/Vertex-Pharmaceuticals-Reviews-E2080.htm,471,597,Reshma Kewalramani,76,Great benefits at Vertex pharmaceuticals,Great benefits,41,Great people that are all committed to the company's mission statement,Great people,25,Great coworkers as well as working environment,working environment,22,"Strong product/revenue base, good equity comp, work life balance is decent, great benefits",work life balance,18,"Fast-paced, great location, awesome co-workers",great location,18,Great benefits at Vertex pharmaceuticals,Great benefits,41,Great people that are all committed to the company's mission statement,Great people,25,Great coworkers as well as working environment,working environment,22,"Strong product/revenue base, good equity comp, work life balance is decent, great benefits",work life balance,18,"Fast-paced, great location, awesome co-workers",great location,18
150,BIIB,https://www.glassdoor.com/Reviews/Biogen-Reviews-E1336.htm,1143,1411,Michel Vounatsos,254,Wonderful team and great benefits,great benefits,144,"Benefits, work/life balance, exciting pipeline",work/life balance,107,Great people laser focused on the health of patients,Great people,66,"Good benefits, positive HR culture, interesting science",Good benefits,57,"Highly flexible work environment, that takes into consideration the needs of colleagues",work environment,57,Wonderful team and great benefits,great benefits,144,"Benefits, work/life balance, exciting pipeline",work/life balance,107,Great people laser focused on the health of patients,Great people,66,"Good benefits, positive HR culture, interesting science",Good benefits,57,"Highly flexible work environment, that takes into consideration the needs of colleagues",work environment,57
127,SHW,https://www.glassdoor.com/Reviews/Sherwin-Williams-Reviews-E599.htm,5122,5774,John Morikis,1421,Very good secure job with great benefits,great benefits,310,Good benefits of holiday parties,Good benefits,281,"Good pay, good benefits, great management",Good pay,256,Great work environment with great people,work environment,154,Opportunity for advancement within company,Opportunity for advancement,133,Very good secure job with great benefits,great benefits,310,Good benefits of holiday parties,Good benefits,281,"Good pay, good benefits, great management",Good pay,256,Great work environment with great people,work environment,154,Opportunity for advancement within company,Opportunity for advancement,133
211,VLO,https://www.glassdoor.com/Reviews/Valero-Energy-Reviews-E704.htm,489,611,Joe Gorder,182,"Great benefits, they take care of their people",Great benefits,37,Good Enviornment good pay good benefits,good pay,30,"Experience, pay rate, work environment and career",work environment,27,"Good culture, good benefits, beautiful campus",good benefits,27,Great pay and benefits structure,Great pay,26,"Great benefits, they take care of their people",Great benefits,37,Good Enviornment good pay good benefits,good pay,30,"Experience, pay rate, work environment and career",work environment,27,"Good culture, good benefits, beautiful campus",good benefits,27,Great pay and benefits structure,Great pay,26
151,ROST,https://www.glassdoor.com/Reviews/Ross-Stores-Reviews-E1843.htm,6524,6801,Barbara Rentler,1659,There is a nice employee discount that I greatly enjoyed,employee discount,326,20% discount on total purchase (unless it's Double Discount Week which is then 40%),20% discount,254,"Flexible hours, competitive pay sometimes",Flexible hours,224,Flexible schedule with good working hours,Flexible schedule,204,"Great people, good pay, great experience",Great people,149,There is a nice employee discount that I greatly enjoyed,employee discount,326,20% discount on total purchase (unless it's Double Discount Week which is then 40%),20% discount,254,"Flexible hours, competitive pay sometimes",Flexible hours,224,Flexible schedule with good working hours,Flexible schedule,204,"Great people, good pay, great experience",Great people,149
224,WELL,https://www.glassdoor.com/Reviews/Welltower-Reviews-E1166198.htm,61,62,Shankh Mitra,4,"Great benefits: PTO, Floating Holiday, Insurance, 401K, and an attractive annual bonus to those that add value to the company",Great benefits,5,"Beautiful campus, nice cafe, decent perks, great compensation",Beautiful campus,4,Great company with very talented employees and leadership,Great company,3,willing to invest,willing to invest,2,toledo is beautiful,toledo is beautiful,2,"Great benefits: PTO, Floating Holiday, Insurance, 401K, and an attractive annual bonus to those that add value to the company",Great benefits,5,"Beautiful campus, nice cafe, decent perks, great compensation",Beautiful campus,4,Great company with very talented employees and leadership,Great company,3,willing to invest,willing to invest,2,toledo is beautiful,toledo is beautiful,2
256,VFC,https://www.glassdoor.com/Reviews/VF-Reviews-E703.htm,801,973,Steve Rendle,203,"good staff benefit, nice work environment",work environment,47,"Great work Culture, Work life balance",Work life balance,36,good culture /employee discount /management&Hr respect empolyer well during the inteview/training,employee discount,34,Good benefits (401K 1 to 1 match) and generous vacation days (I had 20) compared with other retail companies,Good benefits,31,Great benefits and rewarding work,Great benefits,26,"good staff benefit, nice work environment",work environment,47,"Great work Culture, Work life balance",Work life balance,36,good culture /employee discount /management&Hr respect empolyer well during the inteview/training,employee discount,34,Good benefits (401K 1 to 1 match) and generous vacation days (I had 20) compared with other retail companies,Good benefits,31,Great benefits and rewarding work,Great benefits,26
152,TEL,https://www.glassdoor.com/Reviews/TE-Connectivity-Reviews-E18055.htm,1653,2152,Terrence Curtin,499,"Great work/life balance, flexibility, and amazing benefits",work/life balance,100,Good company with good benefits,good benefits,89,Very friendly work environment and collaborative people,work environment,73,Great people inside the company,Great people,49,"good people , good culture and good career growth",good people,46,"Great work/life balance, flexibility, and amazing benefits",work/life balance,100,Good company with good benefits,good benefits,89,Very friendly work environment and collaborative people,work environment,73,Great people inside the company,Great people,49,"good people , good culture and good career growth",good people,46
212,AFL,https://www.glassdoor.com/Reviews/Aflac-Reviews-E1302.htm,1016,3439,Dan Amos,475,Flexible schedule made by me with my family coming first,Flexible schedule,119,It is a great company to work for,great company,110,"Work/Life balance: Flexible hours after training is completed, weekends and holidays off",Flexible hours,94,Great product to sell with strong team culture,Great product,84,Culture: Having great people to work with makes the job that much more enjoyable,great people,74,Flexible schedule made by me with my family coming first,Flexible schedule,119,It is a great company to work for,great company,110,"Work/Life balance: Flexible hours after training is completed, weekends and holidays off",Flexible hours,94,Great product to sell with strong team culture,Great product,84,Culture: Having great people to work with makes the job that much more enjoyable,great people,74
257,AVB,https://www.glassdoor.com/Reviews/AvalonBay-Communities-Reviews-E2616.htm,709,746,Timothy J. Naughton,450,Strong promoters of work life balance,work life balance,61,"Great company, care about employees",Great company,39,"Great benefits, hire within, easy to be promoted",Great benefits,38,Incredibly strong company culture,company culture,31,"We receive good benefits (health insurance, 401k, 20% off of rent if you live in an AvalonBay Community, etc",good benefits,30,Strong promoters of work life balance,work life balance,61,"Great company, care about employees",Great company,39,"Great benefits, hire within, easy to be promoted",Great benefits,38,Incredibly strong company culture,company culture,31,"We receive good benefits (health insurance, 401k, 20% off of rent if you live in an AvalonBay Community, etc",good benefits,30
153,EOG,https://www.glassdoor.com/Reviews/EOG-Reviews-E1467.htm,168,236,William R. Thomas,71,Professional enviroment and a great company,great company,14,"great company to work for, great benefits",great benefits,13,Great people and a good work ethic,Great people,12,Understanding of family work life balance,work life balance,10,"Fast paced, great pay, learn a lot about company operations",great pay,8,Professional enviroment and a great company,great company,14,"great company to work for, great benefits",great benefits,13,Great people and a good work ethic,Great people,12,Understanding of family work life balance,work life balance,10,"Fast paced, great pay, learn a lot about company operations",great pay,8
225,SWKS,https://www.glassdoor.com/Reviews/Skyworks-Solutions-Reviews-E762.htm,338,458,Liam K. Griffin,192,"Good working environment, provides higher basic salary",working environment,16,Work life balance good place to work,Work life balance,12,"good salary , good company, good people, very nice time for work and good location",good people,11,Great people to work with on shift,Great people,10,nice people and good working environment,nice people,9,"Good working environment, provides higher basic salary",working environment,16,Work life balance good place to work,Work life balance,12,"good salary , good company, good people, very nice time for work and good location",good people,11,Great people to work with on shift,Great people,10,nice people and good working environment,nice people,9
213,YUM,https://www.glassdoor.com/Reviews/Yum-Reviews-E6995.htm,435,491,David Gibbs,16,Good work life balance and great people,work life balance,38,Great culture with family atmosphere,Great culture,37,"Liberal work environment, people friendly policies, defined work roles",work environment,20,Tremendous culture and a focus on empowering great people to achieve great things,great people,19,"Interesting work, Pays well, great benefits",great benefits,18,Good work life balance and great people,work life balance,38,Great culture with family atmosphere,Great culture,37,"Liberal work environment, people friendly policies, defined work roles",work environment,20,Tremendous culture and a focus on empowering great people to achieve great things,great people,19,"Interesting work, Pays well, great benefits",great benefits,18
258,FITB,https://www.glassdoor.com/Reviews/Fifth-Third-Reviews-E1395.htm,2452,2560,Greg D. Carmichael,607,"Good work environment, good benefits",good benefits,116,"Great benefits, good organization and great bank in the industry",Great benefits,106,work life balance - great bosses,work life balance,100,"Great work environment, good pay, good experience",good pay,63,"Chill people, interesting work environment",work environment,62,"Good work environment, good benefits",good benefits,116,"Great benefits, good organization and great bank in the industry",Great benefits,106,work life balance - great bosses,work life balance,100,"Great work environment, good pay, good experience",good pay,63,"Chill people, interesting work environment",work environment,62
154,SYY,https://www.glassdoor.com/Reviews/Sysco-Reviews-E634.htm,2515,2603,Kevin Hourican,244,Good benefits with advancement and growth,Good benefits,148,"Great benefits, lots of training",Great benefits,123,"Big company, good pay and coworkers",good pay,112,Great pay if you're a hard worker,Great pay,84,Love working at Sysco great company,great company,69,Good benefits with advancement and growth,Good benefits,148,"Great benefits, lots of training",Great benefits,123,"Big company, good pay and coworkers",good pay,112,Great pay if you're a hard worker,Great pay,84,Love working at Sysco great company,great company,69
226,PAYX,https://www.glassdoor.com/Reviews/Paychex-Reviews-E1762.htm,3189,3282,Martin Mucci,1678,Great benefits even for part-timers,Great benefits,264,Great work/life balance and benefits,work/life balance,209,Great training and development opportunities,Great training,183,Great company with good benefits and strong leadership,good benefits,165,"Spectacular training program, great company culture, job security",great company,140,Great benefits even for part-timers,Great benefits,264,Great work/life balance and benefits,work/life balance,209,Great training and development opportunities,Great training,183,Great company with good benefits and strong leadership,good benefits,165,"Spectacular training program, great company culture, job security",great company,140
214,MNST,https://www.glassdoor.com/Reviews/Monster-Beverage-Corporation-Reviews-E333508.htm,326,383,Rodney C. Sacks,137,"Relaxed, laid back, flexible scheduling, fun events",fun events,20,"Great work environment, friendly staff",work environment,20,"Crazy flexible schedule, good pay and super fun trips",good pay,16,Flexible schedule meaning you can work whenever you chose,Flexible schedule,13,Great people managing the internship program,Great people,12,"Relaxed, laid back, flexible scheduling, fun events",fun events,20,"Great work environment, friendly staff",work environment,20,"Crazy flexible schedule, good pay and super fun trips",good pay,16,Flexible schedule meaning you can work whenever you chose,Flexible schedule,13,Great people managing the internship program,Great people,12
227,DFS,https://www.glassdoor.com/Reviews/Discover-Reviews-E13990.htm,2622,2826,Roger Hochschild,503,good work-life balance given the salary,work-life balance,287,Great benefits and company culture,Great benefits,268,Good benefits and good management,Good benefits,128,"Stable, congenial work place with great people",great people,97,"Healthy work environment, Fulfilling job assigbments",work environment,96,good work-life balance given the salary,work-life balance,287,Great benefits and company culture,Great benefits,268,Good benefits and good management,Good benefits,128,"Stable, congenial work place with great people",great people,97,"Healthy work environment, Fulfilling job assigbments",work environment,96
259,KR,https://www.glassdoor.com/Reviews/Kroger-Reviews-E386.htm,13849,14161,Rodney McMullen,3268,Really flexible schedule and a great group to work with,flexible schedule,508,Flexible hours great management benefits,Flexible hours,449,Great work environment with good benefits,good benefits,367,GREAT BENEFITS FOR PART TIME AND FULL TIME,GREAT BENEFITS,317,great people to work with & learn a lot,great people,296,Really flexible schedule and a great group to work with,flexible schedule,508,Flexible hours great management benefits,Flexible hours,449,Great work environment with good benefits,good benefits,367,GREAT BENEFITS FOR PART TIME AND FULL TIME,GREAT BENEFITS,317,great people to work with & learn a lot,great people,296
155,JCI,https://www.glassdoor.com/Reviews/Johnson-Controls-Reviews-E365.htm,4518,5689,George Oliver,1225,Good benefits good job security,Good benefits,169,"Good pay, good learning experience",Good pay,168,good work environment and good salary,work environment,166,Good organization and work life balance,work life balance,154,"Career advancement, great people to work with",great people,117,Good benefits good job security,Good benefits,169,"Good pay, good learning experience",Good pay,168,good work environment and good salary,work environment,166,Good organization and work life balance,work life balance,154,"Career advancement, great people to work with",great people,117
215,XEL,https://www.glassdoor.com/Reviews/Xcel-Energy-Reviews-E487.htm,517,641,Benjamin G.S. Fowke III,234,"Always treated me fair, good pay and benefits",good pay,46,Really good benefits and great people,good benefits,39,"Great pay and benefits, lots of opportunities for career advancement, ethical company with a lot to offer",pay and benefits,29,"Strong safety culture, good people",good people,26,"Extensive training and mentor support, great benefits, great pay, overall great place to work",great benefits,23,"Always treated me fair, good pay and benefits",good pay,46,Really good benefits and great people,good benefits,39,"Great pay and benefits, lots of opportunities for career advancement, ethical company with a lot to offer",pay and benefits,29,"Strong safety culture, good people",good people,26,"Extensive training and mentor support, great benefits, great pay, overall great place to work",great benefits,23
156,BAX,https://www.glassdoor.com/Reviews/Baxter-Reviews-E83.htm,2192,2742,Jos?? (Joe) Almeida,676,Work life balance good benefits great ppl to work with,good benefits,129,Baxter has a great work/life balance,work/life balance,125,"Good work culture, great work environment",work environment,103,Great benefits and total compensation,Great benefits,83,"Good pay, good mgmt, I do recommend",Good pay,74,Work life balance good benefits great ppl to work with,good benefits,129,Baxter has a great work/life balance,work/life balance,125,"Good work culture, great work environment",work environment,103,Great benefits and total compensation,Great benefits,83,"Good pay, good mgmt, I do recommend",Good pay,74
260,CBRE,https://www.glassdoor.com/Reviews/CBRE-Reviews-E465818.htm,5618,6645,Robert E. Sulentic,2341,good work environment for its employees,work environment,201,CBRE is a great company with an amazing team,great company,166,Fast moving business who employ great people,great people,146,Good benefits excellent management team,Good benefits,132,it is very good company to work with,good company,116,good work environment for its employees,work environment,201,CBRE is a great company with an amazing team,great company,166,Fast moving business who employ great people,great people,146,Good benefits excellent management team,Good benefits,132,it is very good company to work with,good company,116
228,ANSS,https://www.glassdoor.com/Reviews/Ansys-Reviews-E6135.htm,441,577,Ajei Gopal,161,Work life balance and always have exciting projects to do,Work life balance,43,Highly intelligent colleagues and friendly work environment,work environment,37,Work culture and office environment is very good,Work culture,24,"Good salary, flexible, helpful, comfortable, easy to work",Good salary,15,Hands on Cutting Edge Technology,Cutting Edge,13,Work life balance and always have exciting projects to do,Work life balance,43,Highly intelligent colleagues and friendly work environment,work environment,37,Work culture and office environment is very good,Work culture,24,"Good salary, flexible, helpful, comfortable, easy to work",Good salary,15,Hands on Cutting Edge Technology,Cutting Edge,13
216,TDG,https://www.glassdoor.com/Reviews/TransDigm-Reviews-E22279.htm,57,62,Kevin Stein,9,Good people and lower level management,Good people,3,Great benefits to work at this company,Great benefits,2,good benefits,good benefits,2,"Good pay and benefits, mostly good people who want to do a good job",pay and benefits,2,Good Pay; but the pay raise is limited,Good Pay,2,Good people and lower level management,Good people,3,Great benefits to work at this company,Great benefits,2,good benefits,good benefits,2,"Good pay and benefits, mostly good people who want to do a good job",pay and benefits,2,Good Pay; but the pay raise is limited,Good Pay,2
261,DHI,https://www.glassdoor.com/Reviews/D-R-Horton-Reviews-E2195.htm,497,533,David V. Auld,181,DRH offers great benefits and recognizes a work/life balance is important,great benefits,26,Great company with excellent produxt,Great company,23,Great place to work with great people,great people,23,Great management and work environment,work environment,17,"Good benefits, teamwork, and clearly set goals",Good benefits,16,DRH offers great benefits and recognizes a work/life balance is important,great benefits,26,Great company with excellent produxt,Great company,23,Great place to work with great people,great people,23,Great management and work environment,work environment,17,"Good benefits, teamwork, and clearly set goals",Good benefits,16
217,XLNX,https://www.glassdoor.com/Reviews/Xilinx-Reviews-E2063.htm,928,1045,Victor Peng,204,Great benefits and work life balance,work life balance,116,Nice work environment and nice facilities,work environment,54,"Cutting edge products, lots of learning, good benefits and company culture",good benefits,41,"Cutting Edge Technology, Industry Leader, Great Culture to work for,",Cutting Edge Technology,31,"With the introduction of a pandemic, they?€?ve been nothing but supportive in fostering a flexible work for home relationship with the employees",flexible work,27,Great benefits and work life balance,work life balance,116,Nice work environment and nice facilities,work environment,54,"Cutting edge products, lots of learning, good benefits and company culture",good benefits,41,"Cutting Edge Technology, Industry Leader, Great Culture to work for,",Cutting Edge Technology,31,"With the introduction of a pandemic, they?€?ve been nothing but supportive in fostering a flexible work for home relationship with the employees",flexible work,27
229,WLTW,https://www.glassdoor.com/Reviews/Willis-Towers-Watson-Reviews-E1122768.htm,4027,4801,John Haley,1185,Wonderful work environment and workspace,work environment,217,"Flexible work hours, flexible benefits, optional retirement fund",Flexible work,148,Great people with interesting work spanning across a wide variety of industries,Great people,142,Good people who will help you grow,Good people,117,Everyone is equipped to work from home,work from home,109,Wonderful work environment and workspace,work environment,217,"Flexible work hours, flexible benefits, optional retirement fund",Flexible work,148,Great people with interesting work spanning across a wide variety of industries,Great people,142,Good people who will help you grow,Good people,117,Everyone is equipped to work from home,work from home,109
262,MXIM,https://www.glassdoor.com/Reviews/Maxim-Integrated-Reviews-E1624.htm,1040,1137,Tunc Doluca,597,Manager cares a lot about personal growth and work life balance,work life balance,62,Good benefits and very nice facilities,Good benefits,60,Nice work environment for newbies,work environment,55,"Good people, culture, and competitive pay",Good people,41,The only analog design house HQ that is located in the bay area,analog,28,Manager cares a lot about personal growth and work life balance,work life balance,62,Good benefits and very nice facilities,Good benefits,60,Nice work environment for newbies,work environment,55,"Good people, culture, and competitive pay",Good people,41,The only analog design house HQ that is located in the bay area,analog,28
218,DAL,https://www.glassdoor.com/Reviews/Delta-Air-Lines-Reviews-E197.htm,3985,4454,Ed Bastian,1658,Flight Benefits Health care coverage,Flight Benefits,617,Travel Benefits are a huge play,Travel Benefits,298,Great benefits and career advancement opportunities,Great benefits,264,They value their employees by treating them fairly and offering them profit sharing,profit sharing,257,A Great company to work for especially during Covid,Great company,223,Flight Benefits Health care coverage,Flight Benefits,617,Travel Benefits are a huge play,Travel Benefits,298,Great benefits and career advancement opportunities,Great benefits,264,They value their employees by treating them fairly and offering them profit sharing,profit sharing,257,A Great company to work for especially during Covid,Great company,223
230,CTAS,https://www.glassdoor.com/Reviews/Cintas-Reviews-E1256.htm,3748,3851,Scott D. Farmer,1849,Good benefits for health insurance,Good benefits,212,Great Benefits that kick in 30 days after start,Great Benefits,210,"4 day work week, good insurance, decent pay",4 day work,187,"Good pay, great benefits and time off",Good pay,126,Great Company with Great Products,Great Company,122,Good benefits for health insurance,Good benefits,212,Great Benefits that kick in 30 days after start,Great Benefits,210,"4 day work week, good insurance, decent pay",4 day work,187,"Good pay, great benefits and time off",Good pay,126,Great Company with Great Products,Great Company,122
263,ETSY,https://www.glassdoor.com/Reviews/Etsy-Reviews-E42751.htm,207,263,Josh Silverman,93,"Teams, culture, flexibility, technology work/life balance",work/life balance,14,"Great people, beautiful offices (when we could go to them)",Great people,10,Great at research and developing new tactics to help sellers,sellers,10,"Awesome people, great benefits, fun atmosphere",great benefits,10,Great place to work as a marginalized person,Great place,10,"Teams, culture, flexibility, technology work/life balance",work/life balance,14,"Great people, beautiful offices (when we could go to them)",Great people,10,Great at research and developing new tactics to help sellers,sellers,10,"Awesome people, great benefits, fun atmosphere",great benefits,10,Great place to work as a marginalized person,Great place,10
219,MSI,https://www.glassdoor.com/Reviews/Motorola-Solutions-Reviews-E427189.htm,2364,2900,Gregory Q. Brown,1091,Great work/life balance at this company,work/life balance,230,Amazing work environment and great people,work environment,141,"Great HR, great colleagues, flexible working hours",flexible working hours,131,"Great place to work, great people",great people,111,They are flexible and have good benefits,good benefits,99,Great work/life balance at this company,work/life balance,230,Amazing work environment and great people,work environment,141,"Great HR, great colleagues, flexible working hours",flexible working hours,131,"Great place to work, great people",great people,111,They are flexible and have good benefits,good benefits,99
321,HPE,https://www.glassdoor.com/Reviews/Hewlett-Packard-Enterprise-HPE-Reviews-E1093046.htm,11513,13591,Antonio Neri,2453,"The work environment, good leaders",work environment,792,"Kind people, amazing perks, beatiful workspace with relatively flexible working hours",flexible working hours,433,There are many great people to work with,great people,407,"Good work culture, Managers ate cooperative",Good work culture,349,Good management good benefits good experience,good benefits,317,"The work environment, good leaders",work environment,792,"Kind people, amazing perks, beatiful workspace with relatively flexible working hours",flexible working hours,433,There are many great people to work with,great people,407,"Good work culture, Managers ate cooperative",Good work culture,349,Good management good benefits good experience,good benefits,317
231,GLW,https://www.glassdoor.com/Reviews/Corning-Reviews-E183.htm,1032,1454,Wendell P. Weeks,505,Good work/life balance for employees,work/life balance,66,Very good work environment for work life balance,work environment,58,Fairly treats all employees and had great benefits,great benefits,43,"Good benefits, pay, and interesting work",Good benefits,43,Hands-on work with mentor and good pay,good pay,42,Good work/life balance for employees,work/life balance,66,Very good work environment for work life balance,work environment,58,Fairly treats all employees and had great benefits,great benefits,43,"Good benefits, pay, and interesting work",Good benefits,43,Hands-on work with mentor and good pay,good pay,42
264,KHC,https://www.glassdoor.com/Reviews/Kraft-Heinz-Company-Reviews-E1026712.htm,2367,4703,Miguel Patricio,0 Rating,"Work Life Balance, flexible hours",Work Life Balance,177,Great people - supportive and helpful,Great people,169,Rewarded for hard work and good people,good people,106,"Good pay, decent holidays and okay management",Good pay,105,"great brands, enthusiastic young colleagues",great brands,102,"Work Life Balance, flexible hours",Work Life Balance,177,Great people - supportive and helpful,Great people,169,Rewarded for hard work and good people,good people,106,"Good pay, decent holidays and okay management",Good pay,105,"great brands, enthusiastic young colleagues",great brands,102
322,TYL,https://www.glassdoor.com/Reviews/Tyler-Technologies-Reviews-E682.htm,644,702,Lynn Moore Jr.,114,"Good Work Life Balance, Good tech stack",Work Life Balance,54,The work environment was pleasant,work environment,37,Good benefits for all emppoyees,Good benefits,33,Stable growth company with great people working for it,great people,31,Great communication and great benefits,great benefits,29,"Good Work Life Balance, Good tech stack",Work Life Balance,54,The work environment was pleasant,work environment,37,Good benefits for all emppoyees,Good benefits,33,Stable growth company with great people working for it,great people,31,Great communication and great benefits,great benefits,29
220,PXD,https://www.glassdoor.com/Reviews/Pioneer-Natural-Resources-Reviews-E3571.htm,256,311,Scott Sheffield,60,Great benefits and office atmosphere,Great benefits,35,"Free lunch, weight room, coffee bar",Free lunch,21,Great pay like the work schedule,Great pay,19,Great benefits and work life balance,work life balance,15,"Great pay and benefits, good work environment, strong leadership",work environment,15,Great benefits and office atmosphere,Great benefits,35,"Free lunch, weight room, coffee bar",Free lunch,21,Great pay like the work schedule,Great pay,19,Great benefits and work life balance,work life balance,15,"Great pay and benefits, good work environment, strong leadership",work environment,15
232,SBAC,https://www.glassdoor.com/Reviews/SBA-Communications-Reviews-E9253.htm,351,435,Jeffrey A. Stoops,302,Great Benefits and awesome leaders,Great Benefits,23,Very good benefits and stock participation,good benefits,20,"Pleasant work environment, with many challenges, helps to grow as an individual",work environment,17,Work life balance for the most part,Work life balance,16,This is a great company that truly cares about their employees,great company,11,Great Benefits and awesome leaders,Great Benefits,23,Very good benefits and stock participation,good benefits,20,"Pleasant work environment, with many challenges, helps to grow as an individual",work environment,17,Work life balance for the most part,Work life balance,16,This is a great company that truly cares about their employees,great company,11
