NO,TICKER,URL,English_total,Total,CE0_name,CEO_num,Pros1_text,Pros1_color,Pros1_num,Pros2_text,Pros2_color,Pros2_num,Pros3_text,Pros3_color,Pros3_num,Pros4_text,Pros4_color,Pros4_num,Pros5_text,Pros5_color,Pros5_num,Cons1_text,Cons1_color,Cons2_num,Cons2_text,Cons2_color,Cons2_num,Cons3_text,Cons3_color,Cons3_num,Cons4_text,Cons4_color,Cons4_num,Cons5_text,Cons5_color,Cons5_num
2,FB,https://www.glassdoor.com/Reviews/Facebook-Reviews-E40772.htm,6058,8127,Mark Zuckerberg,3981,Free food is just the beginning,Free food,399,Great environment and really smart people,smart people,344,Remote pays good great benefits fun,great benefits,259,Fun work environment with very friendly co-workers,work environment,247,Amazing work/life balance and perks,work/life balance,215,Free food is just the beginning,Free food,399,Great environment and really smart people,smart people,344,Remote pays good great benefits fun,great benefits,259,Fun work environment with very friendly co-workers,work environment,247,Amazing work/life balance and perks,work/life balance,215
67,NOW,https://www.glassdoor.com/Reviews/ServiceNow-Reviews-E403326.htm,1576,1866,Bill McDermott,602,good work life balance for employees,work life balance,76,The company is growing around 40% YoY,company is growing,49,"Outstanding work culture - great people to work with, senior management displays tremendous care for their employees",great people,43,"Great Product, Great ESPP and large number of customers",Great Product,42,Great company culture and people,Great company,41,good work life balance for employees,work life balance,76,The company is growing around 40% YoY,company is growing,49,"Outstanding work culture - great people to work with, senior management displays tremendous care for their employees",great people,43,"Great Product, Great ESPP and large number of customers",Great Product,42,Great company culture and people,Great company,41
3,GOOGL,https://www.glassdoor.com/Reviews/Google-Reviews-E9079.htm,17293,24147,Sundar Pichai,4205,"Tremendous learning, tremendously smart people",smart people,879,great people who are incredibly dedicated,great people,594,great company great benefits balanced,great benefits,585,Great perks that you might never even think of,Great perks,491,Great place all about the people,Great place,417,"Tremendous learning, tremendously smart people",smart people,879,great people who are incredibly dedicated,great people,594,great company great benefits balanced,great benefits,585,Great perks that you might never even think of,Great perks,491,Great place all about the people,Great place,417
99,PNC,https://www.glassdoor.com/Reviews/PNC-Financial-Services-Group-Reviews-E507.htm,6456,6811,William S. Demchak,2539,Great employee benefits and work life balance,work life balance,549,Great company with good benefits,good benefits,301,"great benefits, work life balance",great benefits,246,Pnc Creates a non toxic Work environment for all employees,Work environment,229,Great people- always like family,Great people,170,Great employee benefits and work life balance,work life balance,549,Great company with good benefits,good benefits,301,"great benefits, work life balance",great benefits,246,Pnc Creates a non toxic Work environment for all employees,Work environment,229,Great people- always like family,Great people,170
35,TMO,https://www.glassdoor.com/Reviews/Thermo-Fisher-Scientific-Reviews-E658.htm,4592,5545,Marc N. Casper,2160,"Good benefits, lots a paid vacation,",Good benefits,228,Work life balance is great really,Work life balance,222,Positive inclusive work environment,work environment,184,"Great culture, great people to work with",great people,151,Great company culture and great benefits,great benefits,120,"Good benefits, lots a paid vacation,",Good benefits,228,Work life balance is great really,Work life balance,222,Positive inclusive work environment,work environment,184,"Great culture, great people to work with",great people,151,Great company culture and great benefits,great benefits,120
36,NKE,https://www.glassdoor.com/Reviews/NIKE-Reviews-E1699.htm,7069,8935,John Donahoe,966,fun work environment and great team,work environment,402,Great people and great discount,Great people,236,Great benefits & pay for the work,Great benefits,235,Great discount and benefits for a part time job,Great discount,206,Great Culture Great Company Cutting Edge technologies,Great Company,185,fun work environment and great team,work environment,402,Great people and great discount,Great people,236,Great benefits & pay for the work,Great benefits,235,Great discount and benefits for a part time job,Great discount,206,Great Culture Great Company Cutting Edge technologies,Great Company,185
4,TSLA,https://www.glassdoor.com/Reviews/Tesla-Reviews-E43129.htm,4168,5208,Elon Musk,2627,"Fast-paced environment, good for learning",Fast-paced,256,Great work environment and smart colleagues,work environment,155,I think is solid a high quality cars,cars,152,"Love to work here, great benefits",great benefits,131,Great company and benefits fast paced,Great company,114,"Fast-paced environment, good for learning",Fast-paced,256,Great work environment and smart colleagues,work environment,155,I think is solid a high quality cars,cars,152,"Love to work here, great benefits",great benefits,131,Great company and benefits fast paced,Great company,114
100,COP,https://www.glassdoor.com/Reviews/ConocoPhillips-Reviews-E14933.htm,1113,1313,Ryan M. Lance,460,Work life balance and have SPIRIT value,Work life balance,115,Great benefits for family including bonuses,Great benefits,78,Very fair employer with good benefits,good benefits,71,Great place to work and good pay,good pay,64,"Work environment is nice, average salary compare to other oligas company",Work environment,64,Work life balance and have SPIRIT value,Work life balance,115,Great benefits for family including bonuses,Great benefits,78,Very fair employer with good benefits,good benefits,71,Great place to work and good pay,good pay,64,"Work environment is nice, average salary compare to other oligas company",Work environment,64
68,MMM,https://www.glassdoor.com/Reviews/3M-Reviews-E446.htm,3330,4633,Mike Roman,441,3M offers a great work environment,work environment,167,"Good benefits, life/work balance, tools for innovation",Good benefits,147,"Great people , great benefits and great company to work for",great benefits,140,"Great work culture, stress-free good pay",good pay,126,Great people to work with - anyone is happy to answer questions and/or point you in the right direction,Great people,101,3M offers a great work environment,work environment,167,"Good benefits, life/work balance, tools for innovation",Good benefits,147,"Great people , great benefits and great company to work for",great benefits,140,"Great work culture, stress-free good pay",good pay,126,Great people to work with - anyone is happy to answer questions and/or point you in the right direction,Great people,101
101,BDX,https://www.glassdoor.com/Reviews/BD-Reviews-E88.htm,2562,3313,Tom Polen,288,Flexible work hours help in managing work life balance,work life balance,189,Solid Company with Good Benefits,Good Benefits,139,very good work environment and high pay,work environment,110,So many great people to work with as well that are willing to help you with projects and ideas,great people,95,good contracts good people and good company,good people,83,Flexible work hours help in managing work life balance,work life balance,189,Solid Company with Good Benefits,Good Benefits,139,very good work environment and high pay,work environment,110,So many great people to work with as well that are willing to help you with projects and ideas,great people,95,good contracts good people and good company,good people,83
